,maxindex,tiempo_total,navigate_per,person_per,cutscene_per,object_per,map_per,obsevation_per,notification_per,basic_per,undefined_per,close_per,13-22,5-12,0-4
2586,911,1330,37.76,23.16,10.43,6.15,1.54,0.66,3.84,49.07,46.74,4.19,53.7,31.06,15.24
2587,944,2285,30.4,28.5,11.97,7.63,1.59,1.27,3.71,58.47,37.92,3.61,51.22,32.22,16.56
2588,998,1317,37.58,22.65,11.42,5.31,2.61,0.8,2.2,51.71,46.68,1.61,50.21,36.4,13.38
2589,1995,2017,45.16,14.39,6.97,15.09,1.2,0.35,1.3,44.33,52.56,3.11,47.9,39.05,13.05
2590,1436,1988,48.61,21.45,9.19,5.43,1.6,0.49,1.6,41.84,55.91,2.25,52.8,27.8,19.4
2591,1038,1799,30.92,27.36,10.98,5.68,1.83,1.06,2.79,57.23,39.02,3.75,51.65,31.47,16.88
2592,1308,2216,52.52,18.65,10.17,4.43,1.38,0.46,1.99,38.96,58.71,2.33,46.5,34.98,18.52
2593,1143,2189,38.32,22.13,10.32,6.74,1.31,0.87,1.92,49.3,46.49,4.21,58.36,29.22,12.42
2594,1206,1626,38.97,20.56,8.79,11.03,1.82,0.66,2.57,49.38,47.18,3.43,50.13,35.26,14.61
2595,828,1879,34.66,25.85,11.59,5.92,1.81,0.72,3.5,54.33,43.38,2.29,49.81,33.29,16.9
2596,1956,2188,47.49,15.34,6.03,10.17,2.04,0.87,1.18,41.78,55.12,3.11,48.9,39.63,11.47
2597,2726,4800,48.57,15.77,4.81,11.41,2.05,1.5,1.69,41.83,55.81,2.36,52.82,35.55,11.64
2598,1493,2845,39.45,19.49,8.64,15.61,1.47,0.54,1.74,51.73,46.82,1.45,49.55,40.44,10.01
2599,950,1749,36.74,25.58,10.21,8.11,1.47,0.84,3.89,53.01,44.58,2.41,55.91,28.56,15.54
2600,1363,1680,43.14,21.06,7.63,6.38,1.98,0.73,2.71,47.09,51.38,1.53,57.82,26.01,16.17
2601,862,2319,34.57,25.17,11.6,7.66,1.97,1.16,3.71,53.05,42.22,4.73,48.05,33.9,18.05
2602,1716,3715,51.46,16.08,6.47,8.1,1.81,0.82,1.69,38.45,59.45,2.1,41.3,50.48,8.22
2603,1731,2843,42.46,17.45,6.99,6.93,2.48,0.98,2.31,42.44,51.49,6.07,47.71,39.56,12.73
2604,1152,1016,42.97,26.3,10.85,3.65,1.82,0.69,2.0,48.04,50.19,1.77,44.95,31.6,23.45
2605,1080,1528,28.98,25.83,10.93,11.94,1.48,0.46,2.41,59.05,37.28,3.68,45.73,39.22,15.05
2606,1141,1450,42.33,20.16,9.73,6.13,2.02,1.05,2.02,46.01,51.76,2.23,45.4,39.13,15.47
2607,1087,1894,40.29,20.61,9.94,7.82,2.02,1.01,3.86,48.19,49.56,2.25,54.72,29.41,15.87
2608,944,1733,26.91,26.69,12.39,9.11,1.48,0.85,3.18,59.5,35.13,5.38,52.32,34.88,12.8
2609,1802,2375,45.84,16.26,6.66,7.94,2.83,0.44,1.39,43.24,53.69,3.07,66.19,22.92,10.89
2610,953,2298,27.49,27.39,12.59,11.12,1.57,0.84,2.2,61.93,35.07,3.0,49.06,35.17,15.77
2611,1468,1777,56.68,16.28,7.02,5.59,1.57,1.09,1.36,34.14,63.74,2.12,35.63,49.33,15.04
2612,1269,1589,49.49,17.57,9.14,4.96,1.81,0.55,2.29,41.73,56.05,2.22,53.81,31.5,14.68
2613,905,1588,35.25,29.72,13.04,6.41,1.88,0.88,2.54,56.18,42.08,1.73,49.94,33.76,16.3
2614,1116,1118,41.76,19.35,10.3,6.99,1.7,0.45,2.78,46.86,50.34,2.8,56.73,28.46,14.8
2615,908,1876,31.06,28.74,13.0,5.62,2.53,1.1,2.75,58.19,38.6,3.21,49.12,34.0,16.88
2616,916,2784,26.75,27.95,12.23,10.59,2.29,1.09,2.73,60.42,35.48,4.1,44.94,39.66,15.4
2617,1402,2275,46.22,19.04,9.06,8.56,1.85,0.78,1.85,45.2,52.87,1.94,62.51,23.98,13.51
2618,1060,1054,36.79,25.28,11.32,7.55,1.51,0.94,2.08,53.15,43.39,3.46,53.39,29.64,16.97
2619,1340,1736,44.18,18.88,9.4,8.43,1.19,0.6,2.39,45.08,52.48,2.44,52.76,33.26,13.99
2620,1609,2278,48.6,15.35,6.65,8.89,2.24,0.44,1.62,40.07,56.48,3.45,53.4,36.86,9.74
2621,1894,3260,45.51,14.94,6.44,15.52,2.22,1.0,2.01,45.33,52.03,2.64,42.81,42.49,14.7
2622,980,1661,44.9,22.24,9.9,5.41,2.35,1.02,2.86,46.06,51.81,2.13,48.51,37.53,13.97
2623,1701,2256,53.97,16.52,6.7,7.58,1.18,1.06,1.18,37.13,61.35,1.52,44.0,35.43,20.58
2624,1312,1089,49.01,18.22,10.9,4.88,1.45,0.53,2.06,41.87,56.49,1.64,51.23,31.21,17.57
2625,1010,1841,39.6,22.38,9.7,5.94,1.58,0.59,2.87,47.81,47.6,4.59,47.72,37.06,15.22
2626,2190,2136,42.83,25.66,11.32,4.7,1.83,0.55,2.05,48.55,50.0,1.45,50.92,31.09,17.99
2627,1247,1647,37.61,23.42,12.03,7.78,1.52,0.56,2.09,52.32,45.78,1.89,53.17,32.42,14.41
2628,1765,2005,53.09,14.5,6.06,8.16,1.93,0.68,1.36,36.36,60.99,2.65,56.05,32.71,11.23
2629,1672,2609,43.48,17.22,7.48,10.65,1.97,0.42,1.67,45.01,51.54,3.45,46.43,40.95,12.62
2630,1248,2060,45.27,19.55,7.85,6.17,1.76,0.56,3.04,43.4,53.57,3.03,54.14,28.39,17.47
2631,880,1259,36.7,26.48,10.91,5.8,2.05,0.45,3.3,52.99,44.74,2.27,47.49,35.65,16.87
2632,1061,3079,40.25,24.69,11.69,5.18,1.79,1.23,1.98,50.25,47.95,1.8,49.6,36.38,14.02
2633,1487,1571,49.97,18.56,7.87,8.14,1.21,0.67,1.61,41.54,56.37,2.09,43.54,28.2,28.27
2634,946,1397,28.22,28.12,12.9,6.24,2.01,0.53,2.96,58.37,37.96,3.67,51.13,34.09,14.79
2635,1210,2105,43.72,19.83,8.18,9.5,1.57,0.91,1.9,45.3,52.35,2.35,49.79,34.48,15.74
2636,836,988,39.71,25.84,12.92,4.55,1.79,0.6,2.51,51.08,47.27,1.65,51.08,30.62,18.3
2637,973,1571,34.22,27.03,11.41,9.15,1.64,0.82,2.57,55.57,42.49,1.95,51.46,32.79,15.75
2638,883,2168,36.92,25.82,10.99,7.02,2.04,1.02,3.4,52.11,42.41,5.47,47.85,32.82,19.33
2639,781,1127,28.17,31.88,15.11,5.38,2.05,0.64,2.82,61.77,36.05,2.18,48.17,34.46,17.37
2640,1425,1930,44.28,16.63,6.88,12.84,1.54,0.63,1.82,44.62,51.97,3.41,58.21,31.53,10.27
2641,1073,2545,32.43,27.03,10.62,5.03,1.68,0.75,2.33,51.45,41.3,7.25,56.59,30.81,12.6
2642,1125,1569,40.62,24.36,10.76,5.6,1.42,1.16,2.84,49.58,47.69,2.74,52.19,29.88,17.93
2643,1125,3112,41.33,24.36,9.96,6.84,1.69,0.98,2.22,49.53,48.6,1.87,47.49,40.04,12.48
2644,929,1699,34.55,27.88,13.24,6.24,2.05,0.65,2.8,55.24,42.82,1.94,57.43,29.06,13.51
2645,931,1383,38.13,24.27,10.42,7.09,2.69,0.97,3.11,52.13,45.74,2.13,52.69,31.17,16.14
2646,974,1971,39.53,23.31,10.57,6.47,2.16,1.03,2.67,50.92,47.23,1.85,49.24,31.6,19.16
2647,884,1153,36.99,26.92,11.31,6.67,2.04,0.79,2.94,53.21,44.76,2.02,47.44,33.89,18.67
2648,1018,1841,31.14,27.31,11.39,8.84,1.87,0.49,2.16,58.67,39.67,1.66,50.05,38.01,11.94
2649,1412,2177,40.01,21.25,9.14,5.95,2.34,0.78,1.63,48.12,47.89,3.99,63.25,28.06,8.69
2650,1596,1260,53.95,15.16,8.27,15.73,1.07,0.69,1.32,41.83,56.81,1.36,38.42,45.86,15.72
2651,1452,1814,48.07,19.7,9.3,5.99,2.13,1.17,2.2,42.66,54.82,2.52,45.43,37.36,17.21
2652,746,1448,30.29,27.75,13.27,6.43,2.28,0.8,3.49,57.98,40.03,1.99,50.71,33.33,15.95
2653,1188,1359,41.75,22.47,9.85,6.4,1.77,0.51,2.53,46.74,50.4,2.85,52.43,29.66,17.92
2654,1037,1291,39.83,20.93,13.6,5.98,1.93,0.58,2.51,49.48,47.93,2.59,48.04,29.59,22.37
2655,1596,3546,45.68,20.68,7.39,7.52,1.38,0.69,1.63,42.92,54.33,2.75,57.0,30.73,12.27
2656,1113,1658,39.89,22.28,9.16,6.47,1.71,0.54,2.07,47.2,48.17,4.63,59.51,26.71,13.78
2657,1044,1791,34.87,21.36,9.1,10.82,2.3,0.67,2.39,52.75,44.24,3.0,54.65,31.78,13.56
2658,1125,1825,36.0,25.42,11.11,8.53,1.6,1.07,1.87,54.03,43.53,2.44,50.0,36.9,13.1
2659,2361,3652,60.02,12.62,5.68,5.29,2.08,0.51,1.57,32.83,66.09,1.09,61.57,29.43,9.0
2660,935,1388,32.19,29.73,12.83,5.88,1.6,0.86,3.42,58.0,40.32,1.69,51.69,33.33,14.98
2661,995,1001,44.62,21.81,10.25,5.13,1.41,0.8,2.81,45.67,52.3,2.03,50.37,31.06,18.57
2662,1269,1877,42.0,20.72,8.98,9.46,1.42,0.63,1.97,47.61,49.67,2.72,49.92,34.77,15.31
2663,1134,1994,34.13,25.13,10.41,8.73,2.65,0.62,2.47,55.35,43.09,1.56,37.69,46.75,15.55
2664,1018,1913,33.01,24.17,9.82,8.64,1.57,1.18,2.46,54.05,42.06,3.89,50.21,36.7,13.09
2665,1040,1638,39.9,25.48,10.87,6.44,1.73,0.87,2.69,51.45,46.55,2.0,46.65,38.06,15.28
2666,1182,1937,43.49,19.8,8.54,7.45,1.78,0.59,2.37,43.85,52.17,3.98,41.75,41.48,16.77
2667,1425,1205,45.54,18.6,10.18,9.19,1.75,0.63,1.68,46.6,51.5,1.9,53.28,31.82,14.89
2668,1122,1725,42.34,20.77,9.27,10.34,2.14,0.71,2.23,47.44,50.42,2.14,50.0,38.7,11.3
2669,886,2034,28.1,24.38,10.84,8.01,1.69,0.9,3.5,55.01,40.59,4.4,47.81,34.91,17.28
2670,748,1482,29.14,29.95,12.97,6.68,2.01,1.07,3.48,57.88,37.97,4.15,50.78,33.71,15.51
2671,1507,2300,45.85,19.97,7.37,8.1,2.06,0.66,1.46,42.87,53.92,3.22,58.4,28.86,12.75
2672,1235,1347,51.34,18.7,9.07,5.43,1.54,0.49,2.02,40.61,57.7,1.69,43.3,37.83,18.87
2673,1367,1574,42.65,18.22,9.95,7.61,2.34,0.59,2.05,44.7,52.89,2.42,55.9,26.16,17.93
2674,1515,1600,47.39,15.05,6.8,13.2,1.45,0.73,1.52,41.64,55.73,2.62,44.11,43.91,11.98
2675,1129,2856,39.77,20.11,9.83,9.83,1.77,0.71,2.04,49.16,48.59,2.25,50.65,37.03,12.31
2676,725,1422,29.1,29.93,13.93,4.97,2.07,0.69,3.59,59.29,38.5,2.21,51.47,32.74,15.78
2677,1793,4529,35.75,17.29,7.08,19.24,2.06,0.95,1.34,52.46,43.91,3.63,41.98,47.97,10.05
2678,1047,1186,36.01,27.03,11.94,6.02,2.39,1.24,2.2,54.22,43.44,2.34,48.38,37.35,14.27
2679,896,1745,33.37,27.79,11.72,8.15,1.9,0.78,3.46,56.6,40.45,2.95,45.85,36.26,17.89
2680,1296,1453,42.52,20.37,10.42,9.57,1.23,0.77,2.24,48.3,50.08,1.62,52.84,33.14,14.02
2681,1126,1313,44.58,20.87,9.41,7.82,1.6,0.98,2.13,46.13,52.28,1.58,56.33,30.82,12.85
2682,1332,1208,42.57,19.22,9.23,10.51,1.73,0.6,1.73,46.28,50.71,3.01,44.57,42.78,12.65
2683,1238,1600,43.3,22.7,10.02,7.03,1.21,0.89,2.18,48.31,50.17,1.53,46.32,35.14,18.54
2684,938,1722,34.33,24.63,10.55,8.42,1.81,0.96,2.77,53.26,42.96,3.78,47.75,35.39,16.85
2685,1779,1927,33.56,18.1,6.91,19.22,1.24,0.51,3.09,53.94,42.96,3.1,56.03,27.57,16.4
2686,1382,1584,40.67,20.91,8.97,9.91,2.17,0.8,2.03,48.47,48.77,2.76,48.63,36.13,15.24
2687,1085,1409,45.71,20.09,10.41,6.18,1.66,0.55,2.49,44.44,53.82,1.74,59.61,26.09,14.3
2688,1348,1896,42.66,21.88,9.27,6.6,1.85,1.34,1.56,46.65,50.47,2.88,55.6,32.52,11.89
2689,1460,1816,48.01,19.11,10.14,8.22,1.44,0.48,1.58,42.6,53.53,3.87,41.59,41.52,16.9
2690,1145,1368,39.48,24.28,10.31,4.98,1.75,0.79,1.75,50.23,47.07,2.7,54.93,30.88,14.19
2691,945,1536,40.0,23.17,10.05,6.56,2.01,1.38,2.65,47.73,47.95,4.32,43.22,35.33,21.44
2692,971,1431,37.59,27.29,11.95,5.36,1.65,0.93,3.6,52.91,44.61,2.48,49.36,32.19,18.45
2693,1082,1922,48.8,21.44,8.78,4.81,1.94,0.92,2.03,42.37,55.89,1.74,54.67,27.82,17.52
2694,1028,1132,42.02,24.61,12.16,4.38,1.56,0.88,2.43,49.64,48.72,1.63,48.67,33.47,17.86
2695,1478,5346,33.02,18.34,7.92,15.7,2.5,0.61,2.03,55.12,41.43,3.46,41.69,45.35,12.96
2696,1392,2083,49.14,17.6,7.26,6.39,1.29,1.36,2.51,39.33,57.64,3.03,55.32,30.56,14.13
2697,945,1786,31.85,23.28,11.64,10.79,1.9,1.06,3.07,56.71,40.47,2.82,46.38,34.56,19.06
2698,788,1483,29.31,28.43,12.94,6.35,2.03,0.63,3.17,57.87,38.3,3.83,49.66,33.38,16.96
2699,982,1429,38.8,22.91,11.81,5.19,1.73,0.81,3.36,49.95,47.22,2.84,56.53,28.59,14.89
2700,1405,2039,48.33,15.94,7.26,8.4,2.06,0.57,1.92,42.41,56.05,1.54,61.12,27.0,11.89
2701,1089,1739,41.97,23.6,10.84,5.79,1.29,1.01,2.57,48.41,49.37,2.22,46.64,36.28,17.08
2702,904,1398,39.38,25.22,11.28,4.98,1.66,0.55,2.54,50.88,47.14,1.98,53.02,29.88,17.09
2703,920,2253,34.57,30.0,12.83,5.0,1.85,0.76,2.17,55.95,42.43,1.62,55.03,31.45,13.53
2704,1508,1593,44.03,19.16,8.29,8.62,1.19,1.33,1.59,45.37,52.24,2.38,48.61,36.08,15.3
2705,1016,1934,40.06,26.08,11.12,4.33,1.57,0.98,2.76,51.09,47.25,1.66,51.96,32.99,15.05
2706,1549,1409,52.68,16.2,7.23,4.65,2.45,0.52,1.87,40.03,58.84,1.13,57.51,31.62,10.87
2707,805,2561,26.21,32.3,14.04,5.96,1.74,0.87,3.85,62.85,35.18,1.98,47.43,37.55,15.02
2708,1294,2575,41.19,21.72,8.73,4.4,2.94,1.08,1.93,45.06,49.96,4.98,60.98,27.4,11.62
2709,1167,1068,39.42,23.39,10.45,5.23,2.23,0.86,2.49,50.59,47.52,1.89,58.56,28.47,12.97
2710,1130,2334,37.88,20.88,7.96,13.81,1.68,1.15,1.77,51.59,45.62,2.8,44.46,42.9,12.64
2711,1163,1261,39.81,23.13,10.83,6.28,1.89,0.6,2.67,50.32,48.03,1.65,52.57,31.28,16.15
2712,1042,2029,40.79,22.17,9.4,6.33,1.63,0.86,2.4,47.36,49.9,2.74,55.49,31.24,13.27
2713,1348,4012,31.16,18.32,7.72,22.4,1.34,0.96,1.85,57.71,38.45,3.84,35.17,53.06,11.77
2714,883,1395,39.41,26.27,11.21,4.64,1.93,1.47,2.49,50.54,47.18,2.28,48.02,33.89,18.08
2715,823,1513,32.08,26.0,13.12,4.5,2.43,0.73,2.79,54.56,40.95,4.49,52.97,31.91,15.12
2716,1470,1543,39.86,15.03,7.62,17.41,1.9,0.54,1.5,48.88,47.87,3.25,50.82,37.97,11.21
2717,1574,2809,36.21,17.79,6.1,14.55,2.29,0.76,1.46,50.3,46.65,3.05,55.77,34.2,10.03
2718,1148,1399,40.51,23.34,12.28,4.44,1.48,0.61,2.26,48.21,48.31,3.48,55.68,29.92,14.4
2719,1011,2423,38.18,23.74,10.09,7.72,1.98,0.79,2.47,51.76,46.27,1.97,50.67,34.2,15.13
2720,917,1646,26.28,30.21,13.09,10.25,1.53,0.87,4.03,63.62,34.32,2.06,48.4,37.53,14.07
2721,1388,2217,46.25,19.31,8.93,5.91,1.87,0.43,2.31,44.09,54.48,1.43,63.43,25.88,10.68
2722,973,1410,32.27,26.93,10.79,6.68,1.64,0.72,2.57,54.52,39.91,5.57,53.9,31.23,14.87
2723,1566,3367,41.7,19.8,8.05,7.79,2.04,1.09,1.85,46.82,49.39,3.79,45.81,42.72,11.47
2724,972,2097,33.64,27.37,11.73,7.0,1.85,1.03,3.81,55.92,41.8,2.28,50.87,33.62,15.51
2725,1213,1250,38.58,21.76,9.73,6.18,1.9,0.91,2.47,48.82,48.03,3.16,49.52,34.98,15.5
2726,994,1285,34.51,26.16,11.37,7.34,1.51,1.01,4.02,55.25,42.31,2.44,52.8,31.36,15.84
2727,1031,2198,30.36,29.19,11.83,8.44,2.04,1.16,3.1,60.41,37.76,1.84,49.08,37.17,13.75
2728,1061,1458,38.93,27.14,11.4,5.66,1.98,1.04,2.26,52.35,46.25,1.4,54.35,31.23,14.41
2729,1600,3957,47.19,16.38,7.81,11.0,2.19,0.69,2.25,43.64,54.86,1.49,58.83,27.44,13.72
2730,1271,1619,42.01,18.8,8.03,12.04,2.28,0.87,2.05,47.48,50.57,1.95,56.96,29.45,13.59
2731,894,1527,35.79,23.04,11.97,8.05,1.9,0.67,2.68,54.11,43.62,2.26,46.56,30.76,22.68
2732,1095,1696,42.56,19.54,10.68,7.03,1.64,0.55,2.65,46.62,50.87,2.51,54.08,30.36,15.56
2733,1079,2323,32.99,20.95,9.27,16.4,2.04,0.74,2.22,55.62,42.25,2.13,42.22,43.0,14.78
2734,953,1423,32.21,26.55,12.59,5.35,1.68,0.94,2.73,54.6,40.64,4.77,55.08,31.02,13.91
2735,941,2481,35.71,27.31,12.11,5.42,1.7,0.85,2.34,53.74,43.99,2.27,54.0,31.0,14.99
2736,958,1762,30.58,27.24,12.73,10.65,1.57,0.94,2.4,58.86,38.46,2.68,49.34,34.55,16.11
2737,1008,1882,38.69,22.72,9.92,6.35,2.08,0.79,2.28,47.03,48.62,4.35,50.67,33.54,15.78
2738,793,1263,31.9,26.86,12.61,6.94,1.89,0.88,3.28,56.59,41.15,2.26,49.87,31.65,18.48
2739,1095,2587,40.64,25.02,9.86,7.03,1.64,0.82,2.1,49.57,48.52,1.91,51.67,34.06,14.27
2740,834,1060,34.29,30.34,13.91,4.68,1.8,0.72,2.52,56.98,41.37,1.65,48.86,33.25,17.89
2741,784,1205,30.99,27.68,12.37,7.14,2.04,0.89,4.08,57.8,39.35,2.85,51.55,32.79,15.65
2742,994,1197,37.73,23.34,11.27,6.14,2.41,0.5,2.11,52.88,45.52,1.6,54.8,30.49,14.71
2743,893,1123,39.53,25.2,10.75,5.71,1.57,0.9,2.8,50.83,46.81,2.36,46.96,32.9,20.14
2744,1026,1152,40.35,26.61,10.62,4.87,1.46,0.78,2.44,50.66,47.42,1.93,51.26,31.34,17.39
2745,951,1711,33.96,23.66,10.41,11.36,2.52,0.84,3.05,55.11,42.56,2.33,54.31,31.97,13.72
2746,950,1842,39.89,22.53,10.63,4.21,2.0,0.74,2.32,47.99,49.11,2.91,57.36,28.46,14.17
2747,839,1304,34.56,26.1,13.47,6.2,1.91,0.72,3.1,54.55,43.25,2.21,46.56,35.28,18.16
2748,1182,1856,33.76,22.67,9.48,9.31,1.86,1.02,2.12,51.41,44.24,4.35,50.13,36.48,13.39
2749,1007,2237,31.38,21.95,10.13,10.53,1.89,0.79,2.58,54.25,41.97,3.78,51.55,31.86,16.6
2750,952,1159,39.92,23.11,10.82,8.09,1.89,0.63,2.42,50.61,47.73,1.66,53.93,32.0,14.06
2751,1028,1764,39.11,24.32,10.02,6.91,2.63,0.78,2.82,49.95,48.6,1.45,56.58,29.95,13.47
2752,1279,1917,38.0,19.23,7.58,10.16,2.11,0.78,2.66,50.12,47.1,2.78,42.3,42.38,15.32
2753,2013,793,62.34,17.39,8.79,3.53,1.69,0.25,1.04,32.15,67.12,0.73,48.7,36.01,15.29
2754,936,1711,33.87,28.53,13.68,5.34,1.6,0.85,2.67,56.39,41.66,1.96,50.06,33.75,16.19
2755,1130,2913,35.4,22.74,11.15,8.05,1.77,0.97,2.57,52.19,43.13,4.68,51.48,31.73,16.79
2756,1157,1468,44.86,24.29,10.29,4.67,2.16,0.61,1.73,46.75,51.53,1.71,56.94,30.63,12.43
2757,1279,2601,34.4,22.91,9.54,7.9,2.27,1.33,1.88,53.17,44.28,2.55,49.76,33.93,16.31
2758,1225,2101,35.1,18.45,8.98,14.2,1.55,1.06,2.04,52.2,44.02,3.78,42.83,43.61,13.56
2759,1103,988,31.46,24.39,10.97,11.42,1.72,0.54,2.27,56.65,40.08,3.28,51.66,37.61,10.73
2760,1262,2879,39.06,21.24,8.16,8.64,2.38,1.27,2.06,48.39,48.8,2.81,59.25,29.42,11.33
2761,1410,1826,38.3,18.3,7.23,19.5,1.13,1.21,2.34,53.44,44.86,1.7,46.9,35.32,17.77
2762,1205,1899,37.18,24.48,10.12,7.47,1.66,1.16,2.9,52.97,45.02,2.01,50.83,34.7,14.47
2763,784,1383,28.83,32.02,14.16,5.74,1.79,0.64,2.81,61.28,36.41,2.31,49.53,33.96,16.51
2764,884,1393,31.56,31.56,13.46,5.2,2.15,0.79,2.71,58.92,38.43,2.65,52.57,31.86,15.57
2765,1941,2725,50.23,13.96,5.72,11.54,1.85,0.82,1.29,39.57,57.21,3.22,54.5,33.28,12.22
2766,741,1307,29.69,29.01,13.63,6.61,1.89,0.81,3.78,59.51,38.33,2.16,49.14,35.73,15.13
2767,1030,2050,39.9,22.91,10.29,6.5,1.84,0.97,2.52,47.92,48.86,3.22,51.08,30.77,18.15
2768,1107,2054,35.77,25.38,10.66,6.5,2.35,1.17,2.62,52.77,44.07,3.15,41.53,40.58,17.89
2769,1077,2313,37.98,20.71,9.56,8.54,2.04,0.74,3.53,48.49,48.19,3.31,47.24,37.83,14.94
2770,1173,2199,39.56,21.48,8.44,8.78,2.22,0.94,3.41,49.55,47.86,2.58,49.34,31.16,19.51
2771,995,1565,41.01,21.41,10.45,7.04,1.51,0.4,3.42,46.49,51.06,2.45,57.25,29.31,13.44
2772,1380,2395,35.94,24.93,8.48,12.61,1.3,0.65,2.83,53.56,43.03,3.41,43.47,37.08,19.45
2773,2421,2519,62.04,13.34,5.16,4.83,1.57,1.12,1.57,32.5,66.31,1.18,44.51,21.56,33.92
2774,1240,1735,39.52,25.08,9.11,5.4,1.94,0.56,2.66,48.25,47.05,4.7,49.33,36.08,14.58
2775,1153,2601,42.32,20.64,9.11,7.55,1.99,0.78,1.91,47.41,50.23,2.36,39.28,45.05,15.68
2776,1230,1146,44.15,21.38,11.38,7.32,1.3,0.81,1.87,47.52,50.43,2.05,52.47,32.65,14.88
2777,1013,2336,32.68,24.98,11.25,10.46,1.38,0.69,2.47,55.23,40.76,4.01,48.14,35.02,16.84
2778,1042,1665,31.19,28.31,11.32,8.25,1.82,1.15,2.21,58.23,39.46,2.31,41.64,42.14,16.22
2779,1061,1368,40.34,24.13,10.93,7.16,1.98,0.47,2.64,50.74,47.39,1.87,48.87,35.33,15.8
2780,912,2191,37.17,25.22,11.18,5.26,1.64,0.88,2.19,49.64,45.32,5.04,47.51,33.49,19.0
2781,1042,1676,34.07,25.72,11.9,7.2,1.73,0.77,2.5,54.06,43.06,2.88,51.42,33.27,15.31
2782,1329,1897,42.06,21.07,8.88,8.8,1.66,1.66,1.5,47.98,48.69,3.33,49.65,34.32,16.03
2783,1669,1741,41.34,17.68,7.43,11.62,2.1,0.48,1.5,46.15,49.78,4.07,62.36,27.38,10.26
2784,1188,1426,37.54,25.17,9.76,7.41,1.77,0.93,2.61,52.05,46.35,1.6,49.07,37.18,13.75
2785,1126,1775,36.32,20.25,9.68,10.92,1.69,0.98,2.66,49.86,45.95,4.19,48.1,34.45,17.46
2786,1203,1795,41.23,19.2,8.81,7.07,2.08,0.58,2.16,46.84,50.35,2.81,43.99,42.61,13.4
2787,859,1225,37.14,27.36,11.41,6.17,1.86,0.81,3.26,53.62,44.29,2.09,48.59,34.11,17.3
2788,1099,2109,38.22,26.11,9.83,6.55,1.82,0.82,2.27,51.09,46.24,2.66,49.1,35.53,15.36
2789,976,1351,43.85,21.72,10.76,5.23,1.43,0.61,2.36,45.69,52.34,1.96,50.6,28.51,20.89
2790,1307,833,54.78,16.99,9.33,9.26,1.91,0.46,1.68,39.02,58.89,2.09,50.6,30.74,18.65
2791,1429,1543,49.2,18.4,9.8,4.69,1.68,0.35,2.17,41.61,56.48,1.91,53.95,33.77,12.28
2792,1192,2696,35.74,22.99,9.98,11.33,1.43,0.67,1.76,51.44,44.42,4.14,45.89,38.81,15.3
2793,1152,938,36.55,23.61,12.33,7.12,2.08,0.43,2.17,53.61,44.8,1.59,45.55,35.24,19.21
2794,1030,1742,38.64,23.5,10.87,6.6,2.33,0.49,2.62,50.72,47.33,1.95,55.64,30.84,13.52
2795,1349,1406,45.44,18.9,8.82,8.52,2.15,0.37,1.63,43.61,53.71,2.68,58.5,27.61,13.88
2796,754,1394,32.36,27.85,12.86,5.17,2.25,0.66,3.32,56.43,40.86,2.71,49.93,33.19,16.88
2797,1213,2240,34.71,23.33,10.39,12.37,1.81,0.74,1.9,54.54,42.78,2.68,48.02,38.83,13.14
2798,1099,1098,41.67,22.11,10.1,6.01,1.64,0.45,2.82,48.32,49.95,1.73,51.44,31.96,16.6
2799,1298,1188,45.69,17.26,9.78,10.17,1.31,0.46,2.0,44.26,52.73,3.01,54.36,27.7,17.93
2800,1172,1826,39.59,19.88,8.7,9.81,1.79,0.68,3.33,49.87,47.91,2.23,55.55,28.13,16.33
2801,962,1496,31.29,27.44,12.47,7.17,1.98,0.62,3.95,58.21,39.14,2.65,47.86,33.7,18.44
2802,921,2082,35.5,24.21,11.4,7.38,2.17,0.65,2.61,51.55,45.25,3.21,52.6,33.03,14.37
2803,931,1436,34.37,23.63,10.42,5.69,2.9,0.97,2.58,52.41,44.38,3.21,53.68,30.8,15.52
2804,1714,2266,45.1,17.44,7.29,10.44,2.8,1.17,1.69,45.23,52.97,1.8,45.32,43.4,11.28
2805,994,1185,33.7,26.96,13.38,6.04,1.91,0.4,2.62,55.29,42.12,2.59,48.02,32.26,19.72
2806,1181,1961,40.39,21.85,8.81,6.18,2.96,0.76,2.46,48.94,48.76,2.3,63.44,25.99,10.57
2807,2202,2184,54.68,11.94,5.22,9.99,2.59,0.77,1.59,37.67,60.9,1.43,48.91,37.76,13.33
2808,1073,1361,34.76,24.14,11.37,6.9,2.24,0.93,2.98,54.29,43.15,2.56,57.73,28.87,13.4
2809,977,1777,30.3,26.92,12.59,6.45,1.74,1.43,3.28,56.64,40.4,2.96,45.69,34.48,19.83
2810,904,1949,32.19,28.32,12.72,5.86,1.77,1.22,2.77,56.43,40.5,3.07,47.6,37.08,15.32
2811,1211,2033,39.06,24.36,9.0,9.33,1.9,0.91,2.06,50.52,46.99,2.49,53.54,34.36,12.11
2812,2602,3954,53.5,14.1,4.8,5.38,3.8,1.08,1.0,36.58,61.13,2.29,69.58,22.58,7.84
2813,1132,1855,32.16,24.56,10.87,7.51,1.77,0.8,2.3,53.59,40.99,5.43,53.46,34.21,12.34
2814,1621,1706,46.08,17.27,7.4,13.26,1.48,0.86,1.42,45.94,52.46,1.6,42.64,40.66,16.7
